,title,vote_average,release_date,runtime,genres
18916,The Harder They Come,6.585,1972-09-01,103,"Crime, Drama, Music"
210668,John Glückstadt,5.0,1975-06-30,94,Drama
337625,Treasure,2.0,1997-01-01,85,Adventure
376253,Cafés,0.0,1992-01-01,210,Documentary
60287,"Tramp, Tramp, Tramp",5.7,1926-03-21,62,"Comedy, Romance, Adventure"
20681,Eastern Condors,7.2,1987-07-09,97,"Action, Adventure, War"
698641,A Flash of Beauty: Paranormal Bigfoot,0.0,2023-10-17,100,Documentary
328553,Auf Doktor komm raus,5.0,2010-02-17,90,"TV Movie, Romance, Comedy"
307536,Rascals and Robbers: The Secret Adventures of Tom Sawyer and Huck Finn,7.0,1982-02-27,120,"Family, TV Movie, Adventure"
152555,Where Evil Lives,3.3,1991-01-01,92,Horror
160069,Thread,4.0,2017-12-07,94,"Drama, Science Fiction"
813115,El vivo retrato,0.0,1986-10-24,97,"Comedy, Science Fiction"
23076,The Molly Maguires,6.3,1970-02-08,120,"Drama, History, Thriller"
3035,Unfaithful,6.637,2002-05-10,124,"Thriller, Drama"
262871,La Ciudad de los Cesares,8.0,2022-05-05,103,Adventure
254252,The Margarita Man,4.0,2019-07-31,95,"Comedy, Romance"
963632,@miriamfrompoland,0.0,2021-05-30,77,Documentary
783111,A Story of Sahel Sounds,0.0,2016-10-27,83,"Music, Documentary"
512721,"Love, Desire and Weapons",0.0,1977-01-01,70,"Action, Drama, Crime"
100595,Jamais plus toujours,6.6,1976-03-10,78,Drama
1006040,The Love We Had,0.0,2022-01-04,84,Drama
21341,Tone-Deaf,5.357,2019-03-10,87,"Horror, Thriller, Comedy"
331923,Sprookjesboom de Film,10.0,2012-02-22,72,"Animation, Adventure, Family"
97709,Read and Share DVD Bible,5.4,2010-10-05,156,Animation
187977,Un adulterio decente,1.5,1969-08-25,95,Comedy
342232,Brian Wilson and Friends - A Soundstage Special Event,8.0,2015-10-11,103,Music
319637,Star Trek: Enterprise - Uncharted Territory,8.0,2013-08-20,90,Documentary
153619,Mandhira Punnagai,5.5,2010-11-19,144,"Thriller, Romance, Drama"
33209,Lovey-Dovey,4.7,2007-03-01,100,"Comedy, Fantasy"
155337,Beauty & the Beholder,7.0,2018-10-26,95,"Comedy, Drama, Romance"
442266,Apple: The Trillion Dollar Betrayal,0.0,2022-03-10,64,Documentary
207204,38,7.0,2006-09-01,67,Documentary
105165,No Babies on the Field,5.4,2015-02-07,90,Comedy
880738,Lady Ninja Kasumi 6: Yukimura Assasination,0.0,2008-10-22,80,Action
32977,The Scarlet Pimpernel,6.895,1982-11-09,142,"Action, Drama, Romance, TV Movie"
93920,Stowaway to the Moon,5.857,1975-01-10,100,"Family, Science Fiction"
296914,Claude,9.0,1992-01-11,87,"Comedy, Drama, Romance"
29501,1001 Nights,5.0,1990-04-11,98,"Fantasy, Comedy, Adventure"
292823,George Jones: 50 Years of Hits,9.0,2004-11-25,112,Music
37590,Oasis of Fear,5.677,1971-08-18,90,"Crime, Thriller"
798269,Sigo atascando de polvo,0.0,2000-01-01,85,"Crime, Action"
508822,On Trial,0.0,1917-06-23,70,Drama
66651,Too Close to the Sun,5.5,2015-09-09,103,Drama
789562,Small Creatures,0.0,2011-11-10,87,Drama
441947,COCKCON 2020,0.0,2022-06-10,92,Documentary
693583,Who shot the bullets at Hind Allam,0.0,2007-10-01,990,Drama
715728,Only Friends,0.0,2023-08-12,552,"Romance, Drama"
41591,George & Mildred,8.5,1980-10-10,93,Comedy
30909,Jacquot,7.512,1991-05-15,118,Drama
331740,Illegal,4.0,1932-04-26,64,"Crime, Drama"
7967,Superman: Unbound,6.59,2013-04-23,75,"Animation, Action, Adventure"
879196,Kannan Varuvaan,0.0,2000-05-25,140,"Drama, Comedy, Family"
59186,NOW: In the Wings on a World Stage,6.2,2014-06-09,93,Documentary
7372,The Disappointments Room,4.536,2016-09-09,92,"Horror, Thriller"
7144,I'm for the Hippopotamus,6.7,1979-11-30,95,"Action, Adventure, Comedy"
296567,Year of the pig,5.5,2018-12-27,65,Comedy
274395,Dog Geniuses,2.0,2019-06-04,66,Animation
459000,The Guest,0.0,2015-05-25,105,"Drama, Mystery, Adventure"
886263,Rumah Sewa RM50,0.0,2014-01-01,81,"Mystery, Thriller"
156610,Greek Holiday,1.7,2005-06-25,100,"Romance, Drama"
8426,"One, Two, Three",7.557,1961-12-15,115,Comedy
44411,The President's Man: A Line in the Sand,4.771,2002-01-20,90,"Thriller, Drama, Action"
560256,Still Waters Go Deep,0.0,2022-01-01,150,"Drama, Mystery"
68126,Zamaana Deewana,5.625,1995-07-28,180,"Drama, Romance"
25906,Woodshock,4.598,2017-09-22,100,"Drama, Thriller"
1590,Saw VI,6.3,2009-10-22,90,"Horror, Thriller"
318909,The Human Chair,5.0,1997-04-19,86,"Drama, Crime"
187715,Future Justice,5.0,2014-05-18,90,"Action, Science Fiction"
94529,Sequence of Feelings,5.143,1993-05-15,105,"Drama, Comedy"
408045,Chinese Mayors,0.0,2023-04-03,106,Documentary
156015,Love Among Thieves,6.5,1987-02-23,100,"Comedy, Mystery, Romance"
495464,A+ Life,0.0,1999-05-22,82,Drama
202211,The Carrier,5.5,2011-04-18,83,Documentary
312062,Aishite Imasu 1941: Mahal Kita,1.0,2005-10-16,107,"Drama, Romance, War"
133761,Red Light Revolution,5.5,2010-11-01,91,Comedy
756074,Les hommes de proie,0.0,1937-07-02,87,Drama
68630,Padmasree Bharat Dr. Saroj Kumar,4.5,2012-01-14,147,Comedy
876618,Talking Cock the Movie,0.0,2002-05-22,87,Comedy
75548,The Shutka Book of Records,7.2,2005-11-03,78,Documentary
195892,Nightbird,4.5,2023-01-13,97,Thriller
108752,Disgruntled Employee,4.0,2012-11-20,93,Horror
228666,Surviving America,1.0,2021-12-18,96,Documentary
869009,Dus Tola,0.0,2010-10-22,145,"Comedy, Drama"
761877,Clay Pit,0.0,2018-06-03,77,Drama
71671,Kumari,6.636,2022-10-28,137,"Thriller, Mystery, Horror, Drama"
739795,TV Olho,0.0,2018-03-08,84,Documentary
648630,Jingi 49,0.0,2008-03-28,80,"Action, Crime"
139930,The Blue Apple Tree,5.0,2012-03-12,98,"Drama, Family"
923034,Perdonami!,0.0,1953-02-18,91,"Drama, Romance"
10866,Tomcats,5.108,2001-03-30,95,"Comedy, Romance"
114468,Dongata,5.2,2015-05-08,130,"Comedy, Thriller"
753745,La nuit s'achève,0.0,1950-11-06,103,Drama
161440,Bang Bang,5.2,2011-05-03,101,Drama
191416,The Only Good Indian,3.5,2009-12-01,114,"Action, Drama, Western"
190577,Payal Ki Jhankaar,5.0,1980-01-01,114,Romance
154481,The Little One,6.7,1991-11-01,92,Drama
40426,What Price Hollywood?,6.679,1932-06-24,88,Drama
221429,The Back-up Bride,4.0,2011-03-24,95,Comedy
878982,Station Jim,0.0,2001-12-30,87,"Drama, Romance, Family"
762706,Die Halbwüchsigen,0.0,1929-09-24,75,Drama
302692,Blue Öyster Cult: Hard Rock Live Cleveland 2014,9.0,2020-01-24,120,Music
345332,The Mad Cold-Blooded Murder,6.0,1981-10-23,88,"Horror, Action"
433866,Banker Margayya,0.0,1983-04-30,140,Drama
256863,Nawal the Jewel,5.5,2017-08-18,131,"Family, Drama"
215687,Batman Jr.,4.0,2017-04-25,116,Action
58839,Erreway: 4 caminos,6.7,2004-07-01,102,"Drama, Adventure, Music"
54315,Ever After High: Epic Winter,7.294,2016-08-04,100,"TV Movie, Comedy, Fantasy, Family, Animation"
550791,Lââm: Face à Face (Live à l'Olympia),0.0,2003-04-01,87,Music
32243,The Weather Underground,6.813,2002-11-17,92,Documentary
44439,I picari,5.4,1987-12-18,121,Comedy
182068,Home,6.8,2019-06-15,93,Documentary
254724,Scorpions: World Wide Live: 50th Band Anniversary,8.0,2015-10-17,61,Music
1005008,How to Succeed In Business with a Best Friend and a Handgun,0.0,2020-09-05,63,Comedy
879227,The Skipper,8.0,1987-06-06,87,"Drama, Comedy, Family"
182656,Farlig vår,6.0,1949-02-28,96,Crime
61164,Love On-Air,6.429,2012-01-05,120,Drama
91267,A Woman's Case,4.857,1969-01-01,82,Drama
14849,Hammer of the Gods,4.4,2013-07-05,99,"History, Action, Adventure"
136054,A Secret in the Box,6.0,2017-09-08,71,Documentary
164837,Jasne błękitne okna,6.7,2007-01-12,92,Drama
68540,Northeast,5.8,2005-05-13,104,Drama
912676,Naalai Namathe,0.0,2009-12-25,135,Drama
194015,Last Second,0.8,2005-09-29,97,Drama
152033,The Bomb,1.0,1997-01-01,72,"Comedy, Fantasy"
282872,Cat Stories,10.0,2019-07-04,73,Documentary
185080,Rock 'n' Roll Revue,3.0,1955-10-07,69,Music
5329,Shut In,5.294,2016-11-11,91,"Drama, Thriller"
1027412,God or Dog,0.0,1997-04-06,86,"Drama, Thriller"
130983,Kandhan Karunai,6.2,1967-01-14,150,Fantasy
350142,A Broken Doll,5.0,1988-01-01,71,Drama
817978,Rotkohl und Blaukraut,0.0,2011-02-18,60,Documentary
212735,200 Km,6.5,2003-01-01,110,"Documentary, History"
53219,Doraemon: Nobita's Three Visionary Swordsmen,7.667,1994-03-12,98,Animation
546218,Calvin Harris - Live at Ultra Music Festival Miami 2024,0.0,2024-03-28,75,Music
56124,Stella Does Tricks,6.3,1997-11-06,99,Drama
1028106,Hot-Blooded Hero,0.0,2018-07-27,70,Comedy
119432,Padatik,6.6,1973-04-01,98,Drama
242880,Who Killed Our Children,8.0,2008-10-07,91,Documentary
119591,Eva,4.0,1981-01-01,79,"Comedy, Drama"
131520,Outpost Earth,2.6,2019-01-22,83,"Horror, Science Fiction"
20020,The History of Love,6.471,2016-11-09,134,"Drama, Romance, War"
212049,The Twisted Nanny,5.0,2019-12-01,83,"Thriller, TV Movie"
879739,Melinda,0.0,1972-08-06,109,"Romance, Crime, Drama"
93479,The Gits,7.0,2008-07-07,82,"Music, Documentary, Crime"
330548,Easy Love,2.0,1964-10-03,95,Comedy
104452,Un moment de bonheur,5.4,2002-03-06,84,Drama
327084,In Real Life,10.0,2015-01-01,65,"Thriller, Comedy, Drama"
940368,Top Gun Over Moscow,0.0,2006-10-23,60,Documentary
434072,Twenty Pearls: The Story of Alpha Kappa Alpha Sorority,0.0,2021-03-26,91,"Documentary, History"
244041,The Poet In The Labyrinth Of Time,6.0,2022-03-01,76,Documentary
781397,I Am Here,0.0,2017-11-20,77,Documentary
805759,The grandmother has in two told,0.0,1979-12-31,75,Comedy
2308,Before I Go to Sleep,6.492,2014-09-03,92,"Thriller, Mystery"
117537,Wonderful Things!,5.0,1958-06-10,82,"Romance, Comedy, Drama"
86573,Taste 2,6.375,2015-09-02,98,Romance
320739,Big five and a girl,2.0,1950-02-28,107,Comedy
132327,Samson and the Slave Queen,7.1,1963-08-23,86,"Action, Adventure, Drama"
179974,Vamanan,5.5,2009-07-10,146,Drama
517354,Heading West: A Story About a Band Called Shooglenifty,0.0,2022-08-19,86,"Documentary, Music"
252773,The Magical Hat,6.0,1953-07-03,77,"Music, Comedy"
121057,Bermuda Triangle North Sea,5.6,2011-09-25,142,"Thriller, TV Movie, Action"
342528,Mom Has a New Boyfriend,5.0,1995-05-20,102,"Romance, Drama"
878371,Jethro: Stark Raving Bonkers,0.0,2003-11-01,90,Comedy
9310,The Spirit of Christmas,7.014,2015-11-28,91,"Romance, Drama, Fantasy, TV Movie"
37603,The Pool,4.871,2014-05-01,76,Horror
183483,Chattambi,5.0,2022-09-23,122,"Drama, Thriller"
167096,Maa Oori Polimera,6.5,2021-12-10,98,"Horror, Thriller"
77375,Ek Doctor Ki Maut,5.45,1990-01-01,133,Drama
455509,An Adultery Trip That We’re Calling “Business” Miho Tono,0.0,2020-04-19,118,Drama
120651,Retardead,5.4,2008-07-11,103,"Horror, Comedy"
318488,During a Beautiful Childhood,5.0,1979-07-01,72,"Family, Comedy, Adventure"
871666,See China and Die,0.0,1981-12-09,86,"Horror, Drama, Thriller, TV Movie"
651644,E 9 10 22 - 9 10 23,0.0,2023-10-09,532,"Documentary, Comedy, Drama"
159953,Genesis - Live in Düsseldorf,4.8,2007-06-26,165,Music
855649,Professor Nachtfalter,0.0,1951-02-23,99,Comedy
180760,The Raping Murderer,1.5,1995-02-06,95,"Drama, Thriller, Crime"
60821,Hello Destroyer,6.6,2016-09-10,110,Drama
170739,"Tora-san, the Good Samaritan",8.0,1971-04-28,92,Comedy
800466,Aline,0.0,1967-01-01,75,Drama
325202,In Search Of Our Throwaway History,7.0,2013-09-02,120,Documentary
878495,Milton Jones: Live Universe Tour: Part One: Earth,0.0,2010-11-22,72,Comedy
291146,Boi de Prata,5.0,1981-09-26,88,Drama
95993,Undecided: The Movie,7.8,2016-10-18,86,Comedy
18766,Like Mike 2: Streetball,5.389,2006-05-15,96,"Family, Comedy, Fantasy"
316480,Are We Civilized?,4.0,1934-06-05,70,Drama
298259,Jakkanna,6.0,2016-07-29,220,"Action, Romance"
178562,Thrice,4.5,2018-10-25,69,"Drama, Adventure, Horror, Mystery"
783042,Bécassine,0.0,1940-09-03,93,Comedy
346156,John's of 12th Street,8.0,2014-11-16,64,Documentary
120731,Take That: The Ultimate Tour,7.1,2006-11-06,107,Music
1037426,Marc Almond: 12 Years of Tears - Live at Royal Albert Hall,0.0,1993-04-01,117,Music
45182,O Amor Dá Trabalho,6.3,2019-08-29,100,"Comedy, Romance, Fantasy"
81099,Black Widow,4.667,2008-12-08,85,"Thriller, Crime, Mystery, TV Movie"
87839,The New Shaolin Boxers,6.6,1976-09-03,96,Action
851901,Inventory,0.0,2011-05-11,90,Comedy
39280,Camp Cucamonga,4.69,1990-09-23,93,"Comedy, Drama, Family, TV Movie"
835991,Life,0.0,2007-01-27,93,Drama
390183,High & Low — John Galliano,0.0,2023-09-01,116,Documentary
222406,Los viejos somos así,5.0,1948-01-21,90,Comedy
184284,My Sister's Idol Trainee Friends,3.0,2020-11-12,71,Drama
63849,Inheritance,4.308,2017-06-02,90,"Drama, Horror, Mystery, Thriller"
68211,Maruja,6.5,1959-01-01,121,Drama
103435,Mondo New York,5.2,1988-04-22,83,Documentary
6839,Based on a True Story,5.675,2017-11-01,97,"Thriller, Mystery"
80586,Astonishing Tales of Terror: Rocktapussy!,5.833,2022-09-27,93,"Horror, Comedy, Fantasy"
200062,Mari-Cookie and the Killer Tarantula,1.5,1998-01-01,85,"Horror, Comedy"
716822,Linoleum,0.0,2008-09-25,80,Drama
306351,Dan Soder: Not Special,6.0,2016-05-21,60,Comedy
169991,"Gainsbourg, toute une vie",9.0,2021-02-20,110,Documentary
886119,Kekasih Awal Dan Akhir,0.0,1993-01-01,99,"Drama, Romance"
21916,Love Me Tender,6.169,1956-11-15,89,"Drama, Western, Music, Romance"
7755,Spanish Affair 2,5.483,2015-11-20,106,"Comedy, Romance"
1013766,One11 and 103,0.0,1993-01-12,93,"Music, Drama"
565992,Wir waren in der AfD - Aussteiger berichten,0.0,2024-01-18,90,"Documentary, TV Movie"
71390,Francis Bacon: A Brush with Violence,7.3,2017-01-28,79,Documentary
136492,Sky Bandits,5.8,1986-10-31,105,Adventure
289784,"Ayah, Mengapa Aku Berbeda?",4.0,2011-04-30,99,Drama
85088,The Jut-Nuts III,5.1,1989-12-15,81,"Family, Comedy"
962045,Starbird and Sweet William,0.0,1973-03-21,89,"Adventure, Western"
219119,Parahyba Mulher Macho,4.2,1983-09-15,87,"Drama, History"
637088,Park Avenue,0.0,2001-01-01,82,Romance
1560,The Scorpion King,5.6,2002-04-18,92,"Action, Adventure, Fantasy"
75071,Lost in a Harem,5.5,1944-12-01,89,Comedy
922536,Genge,0.0,2014-10-19,92,"Comedy, Drama"
56209,Lady Caliph,5.5,1970-12-31,96,Drama
108997,Priyamaanavale,7.0,2000-10-26,160,Drama
26177,Her Way,6.955,2021-12-08,95,Drama
194989,Kilroy Was Here,5.0,1947-07-19,70,Comedy
125682,Nights on the Road,7.6,1952-01-14,111,Drama
343142,Sheryl Underwood: Too Much Information,7.0,2005-11-22,73,Comedy
796265,Obey the Law,0.0,1933-03-11,64,Drama
144440,Saint Death,5.1,2007-09-28,84,Documentary
849887,Когда цветет сирень,0.0,2010-10-31,87,Romance
266273,Code Between Brothers: All New,6.0,1970-04-10,89,"Crime, Drama"
424404,The Flaw,0.0,1933-10-02,67,Crime
97907,Crazy Awesome Teachers,5.3,2020-08-17,101,"Comedy, Drama"
369714,Jay Briscoe: Celebration of Life,0.0,2023-01-27,185,Action
320375,Echo,5.5,1997-01-05,96,"Drama, Thriller, TV Movie"
15851,Joy of Fatherhood,6.1,2014-02-06,110,Comedy
840986,Krim,0.0,1995-05-31,85,Drama
190369,Deadly Dorm,5.0,2021-07-11,89,"TV Movie, Thriller"
43505,Friends,6.94,2001-01-14,167,"Family, Drama, Comedy"
951755,"She Missed Her Last Train Home And Now We’re Sharing A Room Together My Lady Boss Is Getting Set To Be Married Soon, And Now We’re Committing Infidelity Together On A Double Bed At A Hotel, Fucking Until The Break Of Dawn Shoko Takahashi",0.0,2019-12-01,150,Drama
284264,Demonic Toys: Jack-Attack,5.0,2023-08-25,60,Horror
44265,Nouvelle Vague,6.6,1990-03-23,89,Drama
846865,Miscellaneous News,0.0,1986-09-25,96,Documentary
982190,Love Notes,0.0,1995-01-01,112,"Romance, Drama"
106370,No,6.833,2021-09-30,119,"Drama, Comedy"
800678,#Trumpsplaining vol. 1,0.0,2019-04-06,81,Documentary
878639,Eliten,0.0,1993-02-22,89,Documentary
359719,World Sex Report,0.0,1970-02-26,86,Documentary
429562,Smoking Tigers,0.0,2023-06-10,85,Drama
73899,Return of the River,7.2,2014-10-11,69,Documentary
335376,Eve's Beach Fantasy,1.0,1996-01-01,87,Drama
37578,A Talking Picture,7.129,2003-08-31,96,"Drama, History"
70666,Thanks for Everything,6.818,2019-12-25,99,"Comedy, Drama, Crime"
221771,Swing,5.5,1999-06-18,90,"Drama, Comedy, Music, Romance"
311009,Living in Bondage,6.0,1992-01-01,163,Drama
75518,Fatal Illusions,6.1,2020-11-19,108,Thriller
87190,Martian Successor Nadesico: The Motion Picture - Prince of Darkness,6.75,1998-08-01,87,"Animation, Science Fiction, Drama, Action"
302397,13 Assassins,7.0,1990-03-28,95,"Action, Drama, History, TV Movie"
932767,Woman's Cry at Snowy Night,0.0,1972-05-19,75,"Thriller, Horror"
315799,Pour l'amour de Dieu,3.0,2011-09-02,113,Drama
806634,Aap To Aise Na The,0.0,1980-12-05,145,"Romance, Drama, Family"
917839,The Return of the Violin,0.0,2012-05-27,65,Documentary
10751,Drunk Parents,4.622,2019-02-08,97,Comedy
743725,No Go: The Free Derry Story,0.0,2006-09-06,60,"Documentary, TV Movie"
47002,The Exam,6.8,2011-10-13,89,"Drama, History, Thriller"
41123,Antoine and Antoinette,6.4,1947-09-27,88,"Drama, Comedy, Romance"
1011734,Project Skyquake,0.0,2022-10-04,72,"Science Fiction, Drama, Mystery"
420317,Showbread: The Music is Dead,0.0,2019-09-16,115,"Documentary, Music"
47509,The Culprit,7.476,2019-07-10,100,"Thriller, Mystery, Crime"
785629,Brown Sugar,0.0,1931-04-21,70,Romance
86406,Cloistered Nun: Runa's Confession,3.9,1976-01-08,74,"Drama, Romance"
364976,We're Renting Out The Best And Strongest AV Actresses 40 Ladies/8 Hours,0.0,2017-04-14,477,Documentary
394072,"I was confined by a disgusting stalker who lives among trash, but the worst is his cock fits me perfectly –",0.0,2022-03-12,120,Drama
994064,Hannelore Elsner - More Than One Life,0.0,2021-04-25,60,"Documentary, TV Movie"
64012,Judgment in Berlin,5.4,1988-05-06,96,Drama
9217,Gigi,6.237,1958-05-15,116,"Comedy, Romance"
331481,Rufus Wainwright - Live from the Artists Den,9.0,2014-03-03,127,Music
109018,Time of Miracles,5.7,1989-04-01,98,Drama
754945,Campus Mystery,0.0,2015-10-16,94,"Horror, Thriller"
61826,Vanished Empire,5.821,2008-02-14,105,"Drama, Romance"
11003,Christmas in Love,4.7,2004-12-17,118,"Comedy, Romance"
182166,Big Boy,4.0,1930-04-27,68,"Comedy, Music"
261580,"Dorivando Saravá, o Preto Que Virou Mar",10.0,2019-11-29,86,"Documentary, Music"
442395,Houndz from Hell,0.0,2011-09-20,90,Horror
881551,Roy Chubby Brown: Dirty Weekend in Blackpool Live,0.0,2008-11-03,60,Comedy
984285,MOVE: Confrontation in Philadelphia,0.0,1980-12-07,62,Documentary
102157,Arch Enemy - As The Stages Burn!,9.0,2017-03-31,73,Music
924050,Taur the Mighty,0.0,1963-06-29,95,Adventure
5999,Sea of Love,6.605,1989-09-15,113,"Crime, Drama, Romance, Mystery, Thriller"
74326,Girl in the Shed: The Kidnapping of Abby Hernandez,6.818,2022-02-26,85,"Drama, Thriller, TV Movie"
240511,3 Char Sau Bees,1.0,2010-08-20,166,"Crime, Comedy"
38246,"Welcome Back, Mr. McDonald",7.517,1997-11-08,103,Comedy
223170,We Are Moluccans,8.5,2014-06-19,150,"Drama, History"
245882,When the Devil Knocks,9.0,2010-10-13,90,Documentary
344942,Naninskiy Landscape,1.0,2006-09-21,101,"Drama, Romance"
950635,Une atroce petite musique,0.0,1973-08-25,92,"Crime, TV Movie, Drama, Mystery"
325990,Money Money More Money,4.0,2011-08-26,145,"Comedy, Drama"
176047,The Ford 50th Anniversary Show,8.0,1953-06-15,120,"Music, Comedy"
149039,The Creepy Doll,3.3,2011-01-01,94,"Thriller, Horror"
68030,Le Cinema de Papa,6.3,1971-02-10,95,"Comedy, Drama"
349351,Lady Godiva: Back in the Saddle,5.0,2007-11-13,91,Comedy
159656,Columbus,7.7,2015-10-22,127,"Drama, Comedy, Romance"
194819,The Accidental Hooker,10.0,2008-07-10,121,Drama
7524,Green Lantern: First Flight,6.9,2009-07-28,75,"Action, Adventure, Animation, Fantasy, Science Fiction, TV Movie"
320904,Doomsday,6.0,1928-02-19,62,"Drama, Romance"
921448,Rent a Lover,0.0,2007-12-02,90,Comedy
1027191,The Red Day,0.0,1931-04-13,74,Comedy
92935,Night Unto Night,5.0,1949-06-10,84,"Romance, Drama"
8586,Infini,5.28,2015-04-11,110,"Horror, Science Fiction, Thriller"
19247,Mollo tutto e apro un chiringuito,5.44,2021-12-07,95,Comedy
63982,Bigger Than Us,7.107,2021-09-22,95,Documentary
181182,Hep Yek 5: Bizim Şeyimiz Mi Altan,6.5,2022-11-04,96,Comedy
54651,The Lady Confesses,4.265,1945-05-16,64,"Drama, Mystery, Thriller"
900876,A Borboleta na Gaiola,0.0,1987-01-01,64,Drama
83451,Run After Me Until I Catch You,5.7,1976-08-25,91,Comedy
477646,Flatten The Curve,0.0,2022-02-22,90,Documentary
17719,The Bank Dick,6.457,1940-11-29,72,Comedy
271018,WRC 1985 - FIA World Rally Championship,10.0,1985-12-31,120,Documentary
343230,Nfinity Champions League Cheerleading Event,10.0,2014-04-10,110,Documentary
917296,Critical Encounter,0.0,2005-01-07,120,Drama
677997,To Never Forget,0.0,2022-10-29,82,Documentary
238903,Rose of Tralee,6.0,1937-04-01,78,"Music, Drama"
29861,The Call of the Wild,6.056,1972-11-30,100,"Action, Adventure, Drama, Family, Western"
5616,Bad Samaritan,6.727,2018-04-19,111,"Thriller, Crime, Horror"
420,The Conjuring 2,7.293,2016-06-08,134,"Horror, Thriller"
707069,Britannicus,0.0,2013-06-12,130,Drama
34243,Demonoid: Messenger of Death,4.9,1981-02-27,80,Horror
507495,Bent Gheir Kol Al-Banat,0.0,1978-01-01,103,Drama
177916,Terente: The King of Swamps,5.5,1995-09-22,82,Drama
160472,Las viciosas y la menor,3.3,1983-02-02,67,Drama
100173,The Bed Hostesses,4.3,1973-02-21,76,Comedy
145873,The Calvary of Serbia,6.2,1932-12-31,82,Documentary
165512,Mercedes,7.3,1998-01-01,86,Drama
267542,Bumerang,5.0,1966-11-08,82,Drama
7070,The Son's Room,7.061,2001-03-09,99,Drama
40772,The Family Way,6.6,1966-12-18,115,"Comedy, Drama, Romance"
5551,Henry: Portrait of a Serial Killer,6.7,1986-09-24,83,"Crime, Horror, Thriller"
332525,Five Senses of Love,5.0,2012-01-01,96,"Romance, Drama"
268511,20/20 Deserted Country,7.0,2018-05-29,70,Fantasy
319024,Metukudi,7.0,1996-09-01,135,"Romance, Drama, Comedy"
217930,Saurians,9.5,1994-01-01,83,"Science Fiction, Horror"
905279,Cinderella Swings It,0.0,1943-01-22,69,"Comedy, Drama"
527363,Manush Keno Beiman,0.0,1999-12-31,134,"Action, Drama"
117326,Sundara Killadi,5.2,1998-11-30,150,Drama
349250,Still Waters,1.0,2000-06-06,131,"Comedy, Romance"
10920,Rabid Dogs,7.576,1974-01-01,96,"Crime, Thriller, Drama"
16883,House on the Edge of the Park,5.875,1980-11-06,91,"Horror, Thriller"
970772,Jojo,0.0,2021-07-21,90,Drama
84735,Exit,6.4,2014-04-01,94,Drama
934301,Maria Stuarda,0.0,2002-01-01,153,Music
96042,Rape!,5.3,1976-02-07,71,Drama
14330,Werner - Beinhart!,6.578,1990-11-29,93,"Animation, Comedy, Action"
109191,Her Kind of Man,5.8,1946-05-11,78,Drama
469162,Les enracinés,0.0,1981-11-04,100,Documentary
136808,The Carbon Rush,7.25,2012-11-07,84,Documentary
240715,Beginning of Toire No Hanako-san　,4.0,2011-12-02,69,Horror
759831,The Ivory Aigrette,0.0,1987-01-22,68,"Adventure, Family"
515623,The Colour of Ink,0.0,2022-09-13,105,Documentary
793062,Agite Antes de Usar,0.0,1985-07-01,80,Comedy
198925,Funny Vampire,6.2,1986-07-12,86,"Comedy, Horror"
82936,And Your Bird Can Sing,6.4,2018-09-01,106,Drama
106074,Diving Deep: The Life and Times of Mike deGruy,7.167,2020-01-10,83,Documentary
656829,Kazuo Ohno: Beauty and Strength,0.0,2001-01-01,111,Documentary
17112,Mark of the Vampire,6.1,1935-04-26,60,"Horror, Mystery"
104972,Homecoming,4.3,2015-08-21,104,"Drama, Comedy"
82028,Playing House,6.1,2006-03-24,85,"Comedy, Romance"
98099,Sombrero,4.4,1953-04-22,103,"Music, Romance"
850581,Girivalam,0.0,2005-05-20,137,"Romance, Thriller, Drama"
799192,Fire Trace,0.0,1946-05-20,91,"Romance, Drama"
267576,Green Carnation: Last Day Of Darkness,9.0,2018-08-24,95,"Music, Documentary"
2475,St. Vincent,7.089,2014-10-09,102,Comedy
72218,The Threepenny Opera,6.6,1931-06-08,104,"Music, Drama, Crime"
208243,Where Pigeons Go to Die,7.0,1990-01-29,100,"Drama, TV Movie"
251761,Elder Anderson: Chapters 1-4,9.0,2020-09-10,92,"Fantasy, Drama"
842971,Perempuan Melayu Terakhir,0.0,1999-01-19,112,"Drama, Romance"
580926,Real Supernatural Posting Collection: Sealed Files,0.0,2017-08-02,81,Horror
212522,An Erotic Tale of Ms. Dracula,5.5,2014-04-03,76,Fantasy
386480,harmoe 1st LIVE TOUR,0.0,2022-12-21,199,Music
927445,Les Joueurs,0.0,1960-01-01,85,"Drama, Comedy"
164004,The Twelve Fairies,5.2,1990-01-01,90,"Action, Fantasy"
157457,Misty,5.0,1976-10-01,100,Drama
137284,El perro negro,6.5,2006-11-15,84,Documentary
91579,City Unplugged,6.1,1993-06-06,99,"Comedy, Thriller"
307989,Depois do Transe,2.0,2006-01-01,114,Documentary
83585,The Wind Cannot Read,6.5,1958-06-10,115,"Romance, Drama, War"
136203,Born to Fight,5.2,1989-01-01,90,"Action, Thriller, War"
214506,The Strange Case of Captain Ramper,4.0,1928-01-11,60,"Horror, Drama"
104423,Where the Heart Is,5.0,2020-02-06,92,"Comedy, Romance"
38678,Leningrad Cowboys Meet Moses,5.8,1994-02-24,94,"Comedy, Adventure, Music"
32105,Exhibit A,5.513,2007-10-01,85,"Thriller, Drama"
751032,Reunion in the Rain,0.0,1980-03-14,90,Romance
241103,Alien Autopsy,4.0,2020-01-07,78,"Horror, Science Fiction"
