,title,vote_average,release_date,runtime,genres
513541,Summit Of Saturn,0.0,2020-07-27,123,"Science Fiction, Drama, Comedy"
42209,Der Boandlkramer und die ewige Liebe,6.1,2021-05-14,87,"Comedy, Fantasy, Romance"
898756,Invisible Eyes,0.0,2009-08-01,107,"Thriller, Horror, Drama, Fantasy, Mystery, Romance"
706542,Tanya. Summer. Winter,0.0,2023-01-01,80,Documentary
139216,I blame the People,6.2,1966-10-01,100,Drama
81832,Ten Dead Men,4.9,2008-04-26,90,"Action, Thriller"
77804,Happy Bus Day,7.7,2017-04-21,113,Comedy
155958,Patriotic Comedy,5.0,1992-01-01,109,"Comedy, Drama"
13763,Nothing Left to Fear,5.141,2013-09-26,100,Horror
1004105,Seasons of a Life,0.0,2010-01-31,102,Drama
19102,Dr. Who and the Daleks,5.696,1965-08-23,82,"Adventure, Family, Science Fiction"
19946,Dofus - Book I: Julith,7.424,2016-02-03,108,"Animation, Action, Adventure, Fantasy, Comedy"
938732,Två man om en änka,0.0,1991-01-05,139,"Comedy, Family, TV Movie"
934048,Body and Soul,0.0,1997-10-18,126,Drama
97730,Telling Secrets,4.4,1993-06-30,173,"Crime, Drama, Mystery, Romance, TV Movie"
242483,Ayal Jeevichirippundu,10.0,2017-03-10,140,"Drama, Adventure"
461651,Ranachandi,0.0,1991-11-15,141,Drama
43276,Zatoichi at Large,6.3,1972-01-15,88,"Adventure, Action, Drama"
8384,S.W.A.T.: Under Siege,5.85,2017-08-01,89,"Action, Crime, Thriller"
61093,Bigfoot,5.2,1987-03-08,90,"Adventure, Family, Fantasy, TV Movie"
767988,Price of a Married Woman: Perfume of Desires,0.0,2001-12-08,80,Drama
110385,GS Wonderland,5.2,2008-11-15,100,"Music, Comedy"
64350,The Extraordinary Adventures of Saturnino Farandola,5.5,1913-11-24,77,"Adventure, Science Fiction"
350551,Pori,6.0,2007-07-07,160,"Action, Drama"
96016,Chance,6.5,2020-04-09,104,"Drama, Family, Mystery"
122059,Manowar: The Day the Earth Shook - The Absolute Power,7.0,2005-07-23,390,Music
8297,Johnny Got His Gun,7.475,1971-08-04,112,"War, Drama"
